职位,学历,经验,技能列表,薪资,公司,公司人数,"城市,",区域
AI图像处理,本科,1-3年,"['深度学习', '大模型算法', '图像生成', '图像处理库（OpenCV等）', '发表算法相关优秀论文', '模型加速/性能优化']",15-20K·13薪,立铠,10000人以上,南通,如皋市
Python开发,本科,1年以内,"['Python', 'SQL', '计算机软件', 'ERP']",4-8K,今晨科技,0-20人,南通,崇川区
程序开发网络工程师,本科,经验不限,"['Java', 'C++', 'Django', 'MySQL', 'Tornado', 'MongoDB', 'Oracle', 'Python', 'Flask']",8-12K,惠尔海事,20-99人,南通,
测试,本科,经验不限,['硬件测试'],5-10K,南通朝辉,0-20人,南通,崇川区
软件测试工程师,本科,3-5年,['高通平台'],7-12K·13薪,美格智能,1000-9999人,南通,
软件工程师,本科,3-5年,"['软件工程师', '网络编程']",7-12K,硕与硕,20-99人,南通,
全栈工程师,本科,3-5年,"['全栈无侧重', 'Vue', 'React', 'Java', 'Python', 'Django/Flask', '计算机相关专业', '全栈项目经验']",14-15K·14薪,数搏科技,0-20人,南通,
开发工程师实习岗,本科,经验不限,"['Python', 'MySQL', '爬虫经验', '接受实习/在校生投递']",2-4K,上海瓴略智能,0-20人,南通,
前后端开发工程师,大专,在校/应届,"['Node.js', 'Python', 'Java', '计算机/软件工程相关专业', '前端开发经验', 'han-link.cn']",3-4K,汉联自动化,0-20人,南通,崇川区
编程老师,大专,经验不限,"['C/C++', 'Python', 'Java']",3-8K,智三教育咨询,0-20人,南通,崇川区
大模型智能体研发工程师,本科,1-3年,"['不接受居家办公', 'Java', 'Python', 'Spring', 'SpringCloud', 'Nginx', 'MySQL', 'Redis', '架构设计经验', '微服务经验']",9-14K,南研智联,20-99人,南通,
机器视觉工程师,硕士,1-3年,"['深度学习算法', '视觉图像算法', '算法设计', '机器学习算法', 'C++', 'Python', 'TensorFlow', 'PyTorch']",12-15K·13薪,科美自动化,20-99人,南通,崇川区
视觉算法工程师,硕士,3-5年,"['大模型算法', '目标检测', '目标跟踪', '图像搜索', 'C/C++', 'Python', '优秀开源项目经历', '模型加速/性能优化']",30-60K,某机械设备公司,20-99人,南通,
少儿机器人编程老师,本科,1-3年,"['编程', '少儿', '机器人']",3-4K,神龙体育,0-20人,南通,
机器人乐高老师,本科,经验不限,"['兼职', '前台', '乐高老师', '编程老师']",1-3K,南通梦禾宝藏文化传播,0-20人,南通,如皋市
运维开发,本科,经验不限,"['Java', 'Nginx', '通信相关专业', '系统运维', '运维开发经验', '计算机相关专业', 'Python/Shell']",4-8K,畅淼,20-99人,南通,崇川区
AI系统架构师,本科,10年以上,['Java'],20-21K,南通蜥蜴造物科技,20-99人,南通,崇川区
ai实习生,本科,,"['机器学习', '大模型算法', '自然语言处理算法', '模型加速/性能优化', 'Python']",120-130元/天,骏星科技,20-99人,南通,崇川区
前端开发高级工程师,本科,1-3年,"['JavaScript', 'HTML5', 'CSS', 'Python', 'Java', '计算机/软件工程相关专业', '前端开发经验', '技术博客/开源项目有所贡献', '架构师经验', '接受居家办公']",10-15K,南通莫吾体育科技,0-20人,南通,
Java程序员,硕士,经验不限,"['Java', 'SQL', 'CSS', 'Python', 'MySQL', 'Oracle', '英语']",10-15K,裘祈,0-20人,南通,崇川区
软件开发工程师,本科,3-5年,"['C++', 'Python', 'QT']",9-14K,中天,500-999人,南通,
IT兼CAD工程师,本科,1-3年,"['Python', 'PyTorch', 'Linux开发/部署经验']",8-12K,埃萨科技,20-99人,南通,
软件测试工程师,本科,3-5年,['Shell'],8-10K,蜂巢科技,20-99人,南通,
机器人&编程老师,本科,经验不限,"['销售经验', '大型教育机构经验', '坐班', '小班教学（3-25人）', '线下教育', '机器人编程老师', '学前儿童/小学生', '幼儿教育工作经验']",5-8K,凝聚力教育,0-20人,南通,崇川区
软件工程师,本科,1-3年,"['C++服务端开发经验', 'Qt项目开发经验', '大数据项目开发经验']",7-11K,突优科技,0-20人,南通,崇川区
系统运维工程师,本科,1-3年,[],7-9K,江苏领进信息技术,0-20人,南通,
运维工程师,大专,3-5年,['安全运维和保障'],6-10K,华研软件,20-99人,南通,海门区
机器人课程老师,大专,经验不限,"['销售经验', '机器人', '教师', '大型教育机构经验', 'C语言培训', 'STEAM', '线下教育', '课程/课件研发', '学前儿童/小学生', '普通话发音标准', '线下授课', '大班教学（25人以上）']",4-8K,南通市童乐湾教育...,20-99人,南通,崇川区
机器人系统软件工程师,本科,经验不限,"['C++', 'Python', 'Linux开发/部署经验', '工业机器人']",8-13K·13薪,图灵,100-499人,南通,
软件项目经理,大专,经验不限,"['实施交付经验', 'PMP', '中大型软件项目管理经验', '计算机相关专业']",6-11K,上海郢昱网络科技,0-20人,南通,
大数据开发工程师,本科,5-10年,"['要求数据开发经验', '数据平台开发经验', '大数据引擎开发经验', 'Hive', 'PostgreSQL', 'HBase', 'Hive原理/源码', 'Python', '计算机相关专业', 'ETL开发经验', '制造业行业经验', '算法', '数据可视化']",10-15K,高科数聚,100-499人,南通,如皋市
少儿编程老师,大专,经验不限,"['C++', '图形化编程', '少儿编程', 'Python']",4-8K,早鹰培优,20-99人,南通,启东市
游戏测试主管,大专,经验不限,"['丰富的游戏经验', '手游测试经验', '主机游戏测试经验']",9-14K,宁波比孚,100-499人,南通,
WPS开发工程师,大专,1-3年,"['Python', '其他', '爬虫经验', 'WPS零代码平台', 'AirScipt']",6-7K,慧泉数据,20-99人,南通,崇川区
报表开发工程师,大专,1-3年,"['CSS', 'JavaScript', '前端开发经验', '不接受居家办公', '帆软报表']",6-11K·14薪,东成机电,1000-9999人,南通,启东市
编程老师,本科,1-3年,"['心理学专业背景', '教育学专业背景', '中学生', '小班教学（3-25人）', '培训机构', '人工智能类', '线下教育', '学前儿童/小学生', '特长兴趣类']",4-7K,好加分文化,100-499人,南通,如皋市
美团运营专员,本科,3-5年,"['需要外卖运营经验', '3年以上外卖运营经验', '连锁品牌运营', '团购/点评运营', '团队管理', '平面设计', '商家自营', '业绩提成', '五险', '生日福利', '男女均可']",6-8K,启东垚记餐饮管理,20-99人,南通,
编程机器人老师,大专,经验不限,"['小学教育', '初中教育', '线下授课']",3-6K,点燃创科,0-20人,南通,崇川区
AI创意运用专家,本科,3-5年,"['图像算法', '深度学习', '大模型算法', '数据挖掘', '大数据处理工具(Spark/Hadoop/Hive)', 'Python', '具备优秀的学习能力、悟性高']",8-12K·13薪,爱格斯凯,100-499人,南通,崇川区
高级全栈工程师,本科,1-3年,"['Python', 'Java', 'C', 'Docker', 'PyTorch', 'MySQL', 'Oracle', '云计算经验', '分布式经验', 'Linux开发/部署经验']",8-12K,镜像数字,0-20人,南通,
python算法工程师,硕士,3-5年,['Python'],12-20K,牛域科技,100-499人,南通,
机器人&编程老师（南通开发区）,大专,经验不限,"['教师资格证', '教育学专业背景', '坐班', '中学生', '熟练掌握计算机语言', '理工科教育背景', '线下教育', '学前儿童/小学生']",5-8K,创嘉乐,100-499人,南通,崇川区
整车故障分析工程师,本科,5-10年,"['功能测试', '自动化测试', '英文', '汽车', '路试', '发动机标定']",16-24K,适途科技,1000-9999人,南通,如皋市
少儿机器人编程老师,本科,经验不限,['机器人'],4-8K,开星派教育,20-99人,南通,
高级ai工程师,本科,1-3年,"['大模型算法', '自然语言处理算法', '数据挖掘', '图像算法', '搜索算法', '多模态算法', 'Python', 'Java', '分布式训练']",10-15K,安思客,0-20人,南通,
芯片测试工程师,本科,1-3年,"['功能测试', '通信相关专业', '测试工作经验', '计算机相关专业', '责芯片产品测试']",20-25K,南通某小型半导体/芯片公司,20-99人,南通,
AI蓝军,本科,1-3年,"['Python', 'Java', 'Django', 'MySQL', 'Linux开发/部署经验', '云计算经验']",4-8K,汉儒学堂,20-99人,南通,
数据分析师,硕士,1年以内,"['金融行业数据相关经验', '数据分析/挖掘经验', 'SQL', 'Python', '数学/统计相关专业']",8-13K,飞鸟卫士,20-99人,南通,
测试开发工程师,本科,,"['Python', 'Shell', 'MySQL', '计算机相关专业', '测试工作经验', 'Linux']",70-100元/天,南通锕族科技有限公司,0-20人,南通,
机器人机械臂调试工程师,本科,3-5年,[],8-13K·16薪,江苏迈步智能装备...,20-99人,南通,
编程老师,本科,经验不限,"['教师', '编程', '乐高']",5-8K,贝思乐机器人科技,0-20人,南通,崇川区
IT工程师,本科,3-5年,"['Linux', '系统运维', '桌面运维', 'Python', 'Shell']",10-13K,恒润科技,1000-9999人,南通,崇川区
资深全栈工程师 - 全职远程,本科,5-10年,"['TypeScript', 'JavaScript', 'Vue', 'PHP', '全栈侧重前端', 'Node.js', '英语读写能力良好', 'Python']",20-30K·15薪,标博,20-99人,南通,
少儿编程老师,本科,经验不限,"['编程', '培训机构', '老师', '少儿培训']",3-6K,小码智培,0-20人,南通,如皋市
Linux嵌入式工程师,本科,1-3年,"['qt', 'linux', 'c语言']",9-10K,米悦,0-20人,南通,崇川区
算法科学家,硕士,经验不限,"['业务导向/研究导向', '语音/图像识别', 'Python', 'C/C++', 'OpenCV', 'TensorFlow/PyTorch', 'CNN/RNN/LSTM', '计算机相关专业', '机器学习算法/工程化经验', '深度学习经验']",30-60K,思诺船舶,20-99人,南通,
AI大模型开发工程师,本科,1-3年,[],8-13K,商策信息科技,20-99人,南通,
架构师,本科,5-10年,[],20-30K·14薪,某大型汽车研发/制造公司,1000-9999人,南通,
软件工程师,本科,1-3年,"['C', 'C++', '嵌入式/单片机开发经验']",7-10K,格陆博科技,100-499人,南通,崇川区
rpa开发工程师,本科,1-3年,"['Golang', '爬虫经验', 'PyTorch', '分布式经验', 'Elasticsearch', 'Oracle', 'Linux开发/部署经验', 'Python', 'TensorFlow']",4-6K,江苏在雇网络科技,0-20人,南通,海安市
it技术支持工程师（偏软件方向）,大专,1-3年,"['Python', 'PyTorch', 'MySQL', '运维开发经验', '企业微信公众号开发', 'MES', '编程']",6-9K,杰玛电机,100-499人,南通,
PMC经理,本科,5-10年,"['家居家具', '建材', '机械设备/机电/重工', '物流仓储', '生产计划与物流控制', '生产成本管理', '团队管理', '生产跟单', '生产设备管理']",15-20K,沐志,100-499人,南通,
技术经理,本科,5-10年,"['互联网/AI', '软件开发']",18-19K,江苏优思智能科技公司,0-20人,南通,崇川区
医学三维成像软件及3D打印工程师,本科,在校/应届,"['深度学习', '人像算法', '三维重建', '点云算法', 'Python', '图像处理库（OpenCV等）', '优秀开源项目经历']",5-6K,比特博,0-20人,南通,
Java开发工程师,大专,1-3年,"['Java', 'Python', 'Shell', '分布式技术', '多线程', '微服务架构', '搜索引擎技术', '容器技术']",8-13K,江苏布罗,20-99人,南通,启东市
游戏测试工程师,本科,1-3年,"['手游测试经验', '计算机相关专业']",6-8K,七和互联网络科技,20-99人,南通,如皋市
脚本开发工程师,本科,经验不限,"['Go', 'C++', 'lua', '脚本开发']",6-10K·13薪,上海翌旭网络科技,100-499人,南通,崇川区
软件工程师（后端）,本科,1-3年,"['.NET', 'Python', 'MySQL/SQL Server/Oracle', '计算机相关专业', '.NET开发经验', '大数据分析']",12-20K·13薪,尚维斯环境科技,100-499人,南通,
技术开发工程师,本科,1-3年,['Python'],7-8K,南京叁陆电力科技,0-20人,南通,
高级爬虫工程师,本科,5-10年,[],50-80元/时,六丰,0-20人,南通,崇川区
乐高机器人编程老师,本科,3-5年,"['线下教育', '坐班', '小班教学（3-25人）', '学前儿童/小学生', '熟练掌握计算机语言', '玩教具制作', '理工科教育背景', '销售经验', '全职']",5-8K,如皋市格致科技培...,0-20人,南通,如皋市
数据要素专家,硕士,5-10年,"['数据安全', '数据治理', '数据建模', '数据要素']",35-45K,中天互联,100-499人,南通,崇川区
运维工程师,大专,5-10年,"['Python', 'Shell', '搜索引擎技术', '容器技术', '分布式技术', '网络协议', 'Linux', 'NoSQL']",15-20K,四川准达,1000-9999人,南通,如东县
编程老师,大专,1-3年,"['教育学专业背景', '教师', '大型教育机构经验', '坐班', '小班教学（3-25人）', '培训机构', 'STEAM', '线下教育', '编程', '普通话发音标准']",4-8K,南通开发区思达科...,0-20人,南通,崇川区
web前端开发工程师,本科,1-3年,"['HTML', '前端开发', 'Linux', 'Three.js', 'NoSQL', 'Vue']",6-10K,蓝策电子,0-20人,南通,崇川区
运维工程师,大专,3-5年,"['系统运维', '安全运维', 'Python', '容器技术', '分布式技术', 'Nginx', 'Tomcat', '数据库运维']",5-10K,江苏星云网格,20-99人,南通,
三维绑定师,大专,1-3年,"['动画动漫', '卡通风格', 'MAYA', '3D设计']",5-6K,今视,20-99人,南通,崇川区
IT工程师,本科,1-3年,"['网络运维', 'Java', 'Python']",5-8K·13薪,华祥医药,100-499人,南通,崇川区
rpa开发工程师,大专,3-5年,"['Python', 'RPA开发工具']",5-10K,菁炽网络科技,0-20人,南通,启东市
中级算法工程师,硕士,1-3年,"['深度学习', '大模型算法', '图像算法', '模型加速/性能优化', 'Python', '算法工程化经验']",8-13K,江苏中桥,20-99人,南通,
技术总监,博士,3-5年,"['电子/通信/半导体', '生产机理模型研究', '大数据、大模型应用']",30-50K,某大型已上市通信/网络设备公司,10000人以上,南通,
价格管理(A78339),本科,5-10年,"['竞品分析', '财务/审计工作经验', '统计/数学相关专业', '核价', '定价', '成本分析']",15-20K·14薪,沃太能源股份有限公司,1000-9999人,南通,
WFM高级主管-调控方向,本科,3-5年,[],12-15K·13薪,去哪儿网,1000-9999人,南通,
项目经理/主管,本科,3-5年,"['企业内部技术项目管理', '管理相关专业', '大数据项目管理经验', 'ERP项目管理经验', '系统集成项目管理工程师', '信息系统项目管理师', 'Ai部项目经理']",15-30K,娅朵星辰纺织品科技,20-99人,南通,通州区
电子工程师,本科,1年以内,"['CAD', 'Python', '电子工艺工程师', 'SolidWorks', '电子半导体', '消费电子']",5-10K,通富微电,1000-9999人,南通,
产品研发-G8427U,硕士,3-5年,"['微电网', '需求分析', '风险评估', '电力系统', '智能电网']",25-30K,泽宇智能,500-999人,南通,
运维工程师,本科,1-3年,"['系统运维', 'Python/Shell', '计算机相关专业', '通信相关专业', '运维经验']",8-10K,三友盛泰,0-20人,南通,
软件测试工程师,本科,3-5年,"['功能测试', '性能测试', '自动化测试']",20-25K·14薪,某大型汽车零部件公司,10000人以上,南通,
教育类人工智能专利产品主理人（南通含市县,学历不限,经验不限,"['课程运营', '校区运营', '门店运营']",10000-30000元/月,共研,0-20人,南通,
嵌入式软件工程师,本科,3-5年,"['C/C++', 'Linux', 'Python']",9-12K,时间环三维,20-99人,南通,崇川区
乐高，编程老师,本科,经验不限,"['全职', '线下教育', '小班教学（3-25人）', '中学生', '学前儿童/小学生', '熟练掌握计算机语言']",4-8K,南通汉诺威文化传...,0-20人,南通,崇川区
实施顾问,本科,1-3年,"['ERP', '计算机相关专业', '财务相关专业', '熟练掌握SQL语句', '可适应出差']",5-8K,奥陆奇,0-20人,南通,
超声波回波信号处理工程师,本科,1-3年,"['Java', 'C/C++', '机器学习', '规控算法', '运筹优化算法', '深度学习', '算法工程化经验', 'MATLAB', '模型加速/性能优化', 'Python']",20-40K·13薪,南通塔西连接科技,0-20人,南通,
