职位,学历,经验,技能列表,薪资,公司,公司人数,"城市,",区域
Python开发工程师（非外包）,大专,1-3年,"['Java', 'Scrapy', 'C', 'Hadoop', '多进程', 'HBase', '网络爬虫技术', 'Linux', 'Django', '云计算经验', 'Spark', 'Selenium', 'Linux开发/部署经验', '量化交易开发经验', 'Flask', 'Python']",8-13K,萤十信息科技有限公司,100-499人,南京,鼓楼区
python开发工程师,本科,5-10年,"['后端', '机器学习/算法工程', 'Python']",10-15K,锐驰鼎欣,20-99人,南京,鼓楼区
python后端工程师,本科,经验不限,"['后端', 'Python']",6-11K,聆韵,20-99人,南京,雨花台区
Python工程师,本科,1-3年,"['Windows', '算法基础', '分布式技术', 'MySQL', 'python', '深度学习']",10-15K,南京智慧水运,20-99人,南京,鼓楼区
Python开发工程师,本科,1-3年,"['Python', 'Django', 'Oracle', 'HBase', '分布式经验', 'Linux开发/部署经验', '985、211、双一流']",15-30K·14薪,华为,10000人以上,南京,雨花台区
python开发,本科,3-5年,"['Java', 'Django', 'MySQL', '运维开发经验', 'Redis', 'Tornado', 'MongoDB', 'Linux开发/部署经验', 'Python', 'Flask']",15-20K,黑鲸物联,20-99人,南京,雨花台区
算法工程师/python开发实习生,本科,经验不限,"['Python', 'Django', 'Flask', 'Tornado', 'Scrapy', 'Numpy', 'MySQL', 'Hadoop', 'Redis', 'Oracle', 'MongoDB', '机器学习经验', '云计算经验', '接受实习/在校生投递']",6-11K,正道软件,0-20人,南京,雨花台区
Python,大专,1-3年,"['Python', 'Django', 'MySQL', '团队管理经验', '架构设计经验', 'Linux开发/部署经验', '接受实习/在校生投递']",6-8K,诗情画意,0-20人,南京,鼓楼区
AI/机器学习工程师（Python助理工程师）,本科,,"['Java', 'C++', 'Scrapy', 'C', 'PostgreSQL', 'Hadoop', 'Numpy', '爬虫经验', '接受实习/在校生投递', 'PyTorch', '微服务经验', 'Django', 'MySQL', 'PHP', '云计算经验', 'Tornado', 'MongoDB', 'Oracle', 'Linux开发/部署经验', 'Python']",120-150元/天,智檬智能,20-99人,南京,栖霞区
Python,本科,1-3年,"['后端', '爬虫', 'Python', 'MySQL', 'MongoDB', '计算机相关专业']",10-14K,天信通,20-99人,南京,
python开发实习生,本科,,"['后端', 'Python', '计算机相关专业']",150-180元/天,慧禾融智,20-99人,南京,建邺区
web后端开发工程师,学历不限,3-5年,"['后端开发', 'Golang', 'python']",15-20K,网眼信息技术,500-999人,南京,雨花台区
南京Python开发工程师,本科,1-3年,"['运维开发', 'Python', '计算机相关专业']",10-15K·15薪,上海玄信,20-99人,南京,栖霞区
python开发工程师,本科,3-5年,"['Python', 'Scrapy', 'MySQL', 'Oracle']",15-30K,上海万得基金,100-499人,南京,建邺区
python中级开发工程师,本科,3-5年,"['Python', 'PyTorch', 'Pandas', 'Numpy', 'Django', 'Flask', 'MySQL', 'Redis', 'Oracle', 'MongoDB', 'PostgreSQL']",9-13K,润飞,20-99人,南京,鼓楼区
Python开发,本科,3-5年,['Python'],8-12K,武汉动策网络科技,0-20人,南京,雨花台区
Python开发工程师,大专,3-5年,"['分布式技术', 'Linux', 'Django']",8-13K,卓影智能科技,0-20人,南京,栖霞区
python开发工程师,本科,3-5年,"['Java', 'Django', 'Pandas', 'MySQL', '架构设计经验', 'Oracle', '有前端经验/技能', 'Numpy', 'Python', 'Flask']",12-15K,珥仁,100-499人,南京,建邺区
Python后端开发工程师,本科,3-5年,"['数据结构', '容器技术', 'MySQL', 'Flask', '软件工程师', 'Python']",10-15K,苗米科技,20-99人,南京,
Python,本科,3-5年,"['Python', 'Django', 'Tornado', 'MySQL', 'Redis', 'MongoDB', '架构设计经验', 'Linux开发/部署经验']",12-20K,云聚互联,0-20人,南京,雨花台区
Python 后台开发工程师 / 高级开发工程师,本科,3-5年,"['Python', 'Django', 'PyTorch', 'MySQL', 'MongoDB', 'HBase', 'PostgreSQL', '架构设计经验', 'Linux开发/部署经验', '运维开发经验', '云计算经验']",8-10K,南京汉悠,20-99人,南京,江宁区
Python全栈工程师,本科,5-10年,"['Django', '微服务架构', '架构师', '容器技术', 'SQL', '中级软件工程师', 'Visual Studio', 'MySQL']",13-26K,华易众欣,100-499人,南京,秦淮区
python应用开发工程师（大模型方向）,本科,经验不限,"['Python', 'PyTorch', 'TensorFlow', '其他']",6-11K,苏宁易购,10000人以上,南京,玄武区
