职位,学历,经验,技能列表,年薪,公司,公司规模,城市,区域
少儿编程老师,本科,在校/应届,"['C++', 'Scratch', '编程', '信奥']",126,斯蒂姆教育,小型企业,无锡,滨湖区
交付工程师,本科,1-3年,[],149,明扬新能源,小型企业,无锡,
雷达系统/软件工程师,本科,经验不限,"['C++', '雷达信号处理', '雷达回波信号', '脉冲、相控阵雷达', '雷达算法']",138,博远装备,中型企业,无锡,新吴区
AI开发工程师,本科,1-3年,"['Python', 'Kafka', 'Django', 'Redis', 'Linux开发/部署经验', '机器学习经验']",114,无锡明见科技有限公司,小型企业,无锡,梁溪区
数据工程师（AI方向）,本科,3-5年,"['Java', '计算机相关专业', '数学/统计相关专业', '大数据处理经验', '机器学习经验']",198,上海辑视品牌管理,小型企业,无锡,梁溪区
上位机软件工程师,本科,3-5年,"['C#', 'C++', 'C#开发经验', '国内院校优先', '系统架构设计经验']",208,环亚微电子,小型企业,无锡,新吴区
软件开发,学历不限,3-5年,"['Python', 'MySQL']",192,众豪,小型企业,无锡,江阴市
数据开发工程师,大专,3-5年,"['要求数据开发经验', '数据平台开发经验', '数据仓库开发经验', '大数据引擎开发经验', '数据库内核开发经验', 'Spark', 'Hive', 'Flink', 'HBase', 'MySQL/SQL Server', 'Spark原理/源码', 'Flink原理/源码', 'Java', 'Python', 'SQL', 'Shell', 'Scala', 'BI报表开发经验', 'ETL开发经验', '实时数仓开发经验', '数据治理经验', '数据建模经验', '非外包类', 'MySQL原理/源码', 'PostgreSQL原理/源码', 'Oracle原理/源码', 'FineReport', 'Tableau', 'ETL', 'Hadoop']",126,亦仁科技,小型企业,无锡,
直播投流,大专,1-3年,[],150,不求器全,小型企业,无锡,宜兴市
人工智能技术经理,本科,3-5年,"['互联网/AI', '技术经理']",210,江苏税软软件科技...,中型企业,无锡,新吴区
机器人教师,本科,经验不限,"['线下教育', '小班教学（3-25人）', '学前儿童/小学生', '中学生', '全职兼职均可', '坐班']",84,斯迪姆科技培训(...,小型企业,无锡,新吴区
iOS开发（SwiftUI 技术栈）工程师,本科,10年以上,"['技术方案规划', '架构设计', '功能开发', '性能优化', '技术升级', 'Swift', '计算机/软件工程相关专业', '通信相关专业', '大型项目开发经验', '独立开发且上线经验', '全栈开发经验']",198,五楼信息,微型企业,无锡,新吴区
算法工程师（智能场站）(J21251),本科,3-5年,"['大模型算法', '工业/缺陷检测', 'Python', '团队管理经验', '参加算法相关竞赛/获奖', '优秀开源项目经历', '风电场', '光伏', '变电站', '智能巡检']",264,金风科技,大型企业,无锡,新吴区
labview软件工程师,本科,3-5年,['软件开发经验'],259,有芯智能,小型企业,无锡,新吴区
python青少儿编程老师,本科,3-5年,"['Python', 'C++', 'C', 'Numpy', 'Kubernetes', 'Selenium', 'MySQL', 'MongoDB', '架构设计经验', '爬虫经验', '机器学习经验']",66,翰源体育发展,微型企业,无锡,惠山区
少儿编程讲师,大专,经验不限,"['C/C++', '爬虫经验', 'C++', '机器学习/算法工程', 'JavaScript', 'Python']",90,粒方体培训,微型企业,无锡,江阴市
NLP/CV算法工程师,本科,经验不限,"['机器学习', '大模型算法', '图像算法', 'C/C++', 'Python', 'Java', '算法工程化经验']",240,无锡晨计教育科技,微型企业,无锡,新吴区
Golang,本科,1-3年,"['Golang', 'C语言', 'C++', '软件工程师', '后端开发']",138,无锡恒鼎超算,中型企业,无锡,滨湖区
软件工程师,本科,3-5年,"['Python', 'Golang', 'SpringCloud', 'MyBatis', 'Kafka', 'Dubbo', 'Oracle', 'MongoDB', '团队管理经验', '大数据经验', '搜索/推荐/广告经验', '分布式经验', '不接受居家办公']",96,感图网络科技,中型企业,无锡,梁溪区
医疗数据工程师,本科,3-5年,['Python'],224,紫荆智康,微型企业,无锡,滨湖区
基金经理,本科,5-10年,[],186,青岛展鹏私募基金管理,微型企业,无锡,滨湖区
漏洞研究员,本科,1-3年,['C/C++'],150,深网科技,小型企业,无锡,新吴区
储能电气工程师,本科,1-3年,[],168,萨科特,中型企业,无锡,锡山区
可靠性工程师,本科,3-5年,"['半导体', '集成电路']",227,拓易科技,小型企业,无锡,新吴区
C#,本科,5-10年,"['C#', 'C#开发经验', '多线程', '面向对象编程', 'WPF', '系统架构设计经验']",240,无锡亘芯悦科技,小型企业,无锡,新吴区
软件工程师,本科,3-5年,"['C/C++', '计算机相关专业']",210,无锡索威电气科技,小型企业,无锡,新吴区
技术专家,本科,5-10年,"['Java', '数据结构', 'Python']",240,无锡创亿数据科技,微型企业,无锡,滨湖区
人形机器人工程师（应届生欢迎）,本科,经验不限,"['机器人', 'C++', 'ROS']",217,无锡优奇智能,中型企业,无锡,滨湖区
高级大数据开发工程师,本科,3-5年,"['Kafka', 'Flink', 'Kettle', 'ETL开发经验', '数仓建设经验', '大数据开发经验']",279,台铃科技信息科技中心,大型企业,无锡,锡山区
运营专家,本科,3-5年,"['社群搭建与维护', '用户画像与分层']",276,某大型能源科技领域计算机软件上市公司（江苏）,大型企业,无锡,
资深测试工程师,本科,5-10年,[],240,研微半导体,中型企业,无锡,滨湖区
测试工程师,本科,3-5年,['测试工程师'],276,ITL,中型企业,无锡,滨湖区
nlp工程师,本科,1-3年,"['Java', '搜索算法', '对话系统', '大模型算法', '算法工程化经验', '知识图谱', '文本生成', '优秀开源项目经历', 'C/C++', '机器学习', '摘要生成', 'Python', '模型加速/性能优化']",240,灵鸽机械,中型企业,无锡,新吴区
系统运维工程师,本科,1-3年,"['系统运维', '计算机相关专业', 'python', 'go']",78,海斯凯尔,中型企业,无锡,新吴区
高级架构师+双休+10-15k,本科,1-3年,"['Java', 'Python', '微服务架构', '服务器配置', '分布式技术', 'Spring', 'Dubbo']",150,无锡织数互联科技,小型企业,无锡,江阴市
制冷测试工程师,大专,3-5年,"['空调', '性能测试', '制冷设备']",126,无锡冠亚恒温制冷,中型企业,无锡,锡山区
bms软件工程师,大专,1-3年,"['不限', 'C', 'C++', 'Python', '计算机相关专业', '通信相关专业', '嵌入式/单片机开发经验']",260,无锡恒悉电子科技,小型企业,无锡,滨湖区
测试工程师（硬件）,本科,5-10年,"['智能硬件类', '硬件测试经验']",150,云工场科技,中型企业,无锡,新吴区
运维工程师,本科,5-10年,"['运维经验', '运维开发经验', '网络安全相关经验']",245,尚唯斯,中型企业,无锡,新吴区
后端开发人员,本科,3-5年,"['Python', 'Java', 'PHP', 'Django', 'Nginx', 'MySQL', 'MongoDB', 'PostgreSQL']",186,海推数据,小型企业,无锡,滨湖区
软件开发工程师,本科,3-5年,[],150,弘焕,微型企业,无锡,宜兴市
跨境电商数据分析师,本科,3-5年,"['Python', 'SQL', 'Power BI', '数学/统计相关专业', '电商/零售行业数据相关经验']",192,微珑科技无锡有限公司,小型企业,无锡,新吴区
工业物联网开发工程师,本科,5-10年,"['Python', 'Golang', 'Java', 'PyTorch', 'MySQL', '工业物联网', '数据建模', '面对对象编程']",600,某大型新能源公司,中大型企业,无锡,
工业机器人行业 算法QA  18K起  公积金12%,本科,3-5年,"['自动化测试经验', '测试工作经验', '自动化测试', '性能测试', '功能测试', '嵌入式测试', '计算机相关专业', '软件开发经验']",294,江苏格罗瑞节能科技,小型企业,无锡,梁溪区
算子测试开发工程师,本科,3-5年,"['C++', '自动化测试', '性能测试', '功能测试']",322,太初,中型企业,无锡,滨湖区
软件测试工程师,大专,3-5年,"['自动化测试', '软件测试', '测试开发', 'web端测试', '移动端测试', 'APP测试', 'Python', 'Java']",150,纳新科技,小型企业,无锡,梁溪区
安全服务工程师,本科,1-3年,[],120,晶安智慧,小型企业,无锡,锡山区
测试工程师,本科,1-3年,"['Java', '接受实习/在校生投递', 'C++', '测试工作经验', '性能测试', 'Fiddler', '功能测试', '计算机相关专业', '掌握软件测试理论和流程']",150,佰倬信息科技,小型企业,无锡,滨湖区
Linux嵌入式工程师,本科,1-3年,"['C++', 'C', '嵌入式/单片机开发经验', 'linux', '计算机相关专业', '英语读写能力良好', 'Python']",132,欧慧能源,小型企业,无锡,新吴区
少儿编程老师,大专,经验不限,"['wedo', 'python', 'scratch', '乐高', '机器人']",66,新吴区思动益智培...,微型企业,无锡,新吴区
市场分析专员,本科,1-3年,[],150,弘元绿色能源,大型企业,无锡,滨湖区
PDK开发（PEX方向）,本科,1-3年,"['电路设计', 'PE X（寄生参数提取）', 'Perl', 'Python']",304,无锡北京大学电子...,小型企业,无锡,新吴区
自动化测试工程师,本科,3-5年,"['UiAutomator', 'Appium', 'Python']",126,永中软件,中大型企业,无锡,新吴区
嵌入式开发测试工程师,本科,3-5年,[],175,无锡融卡科技有限公司,小型企业,无锡,新吴区
储备教学主管,本科,1-3年,"['培训机构', '线上教育', '学前儿童/小学生', '中学生', '教育工作经验', '普通话发音标准', '大型教育机构经验', '销售经验']",102,星维度文化,小型企业,无锡,梁溪区
C++软件开发工程师,本科,3-5年,"['Qt项目开发经验', 'Shell', 'Cmake', 'QT', 'Linux', '多线程', 'STL']",217,鸣石峻致,小型企业,无锡,新吴区
研发工程师,本科,经验不限,"['Java', 'Spring', 'MyBatis', 'Hibernate', 'Docker', 'Tomcat', 'MySQL', 'Redis', 'Oracle', 'MongoDB', 'SQL Server', '分布式经验', '架构设计经验', '物联网经验', '云计算经验', '不接受居家办公', '接受实习/在校生投递']",126,江苏中科惠软,中型企业,无锡,锡山区
软件开发工程师,本科,3-5年,"['C++', '嵌入式软件经验', '计算机相关专业', 'Python']",292,清华大学,大型企业,无锡,滨湖区
中级测试工程师,本科,3-5年,['性能测试'],180,百望股份,大型企业,无锡,惠山区
软件测试,本科,3-5年,"['Java', 'Python']",162,上海煜麦网络科技,中型企业,无锡,新吴区
测试工程师,本科,1-3年,"['功能测试', '性能测试', '自动化测试', '嵌入式测试', 'Linux']",114,中诚华隆,小型企业,无锡,新吴区
Java高级工程师（AI研发）,大专,5-10年,"['Java', 'Spring', 'Redis', '保险', 'AI', '大模型', 'Dify', 'RAG']",138,中科软,超大型企业,无锡,梁溪区
软件开发工程师（Python）,本科,1-3年,"['软件工程师', 'Python']",66,无锡英赛软件有限公司,微型企业,无锡,新吴区
乐高机器人老师,大专,经验不限,"['Linux', '少儿Python教学']",78,启航教育,微型企业,无锡,新吴区
开发工程师,本科,经验不限,['Python'],126,滨湖启慧明心咨询...,微型企业,无锡,滨湖区
前端开发工程师,本科,3-5年,"['前端开发经验', '计算机/软件工程相关专业']",162,创想猫,小型企业,无锡,梁溪区
客户关系经理,本科,经验不限,[],240,无锡某小型智能硬件公司,小型企业,无锡,
数据开发工程师,本科,3-5年,"['要求数据开发经验', '数据平台开发经验', 'Oracle', 'SQL', '计算机相关专业', '非外包类']",138,隆盛科技,大型企业,无锡,新吴区
嵌入式工程师,本科,1-3年,"['通信相关专业', '嵌入式硬件开发', '硬件', 'C语言', '嵌入式/单片机开发经验', '单片机开发', '嵌入式软件开发', 'PCB设计', '电气电气/自动化相关专业', '物联网', '嵌入式技术']",180,地心引力,微型企业,无锡,滨湖区
研发软件工程师,本科,3-5年,"['C++', 'Python', 'C', 'RTOS', '电动工具', '伺服电机', '嵌入式系统']",162,无锡贝斯特尔自动...,小型企业,无锡,新吴区
市场解决方案经理,本科,3-5年,[],210,天奇股份,大型企业,无锡,惠山区
大模型开发工程师,本科,1-3年,"['大模型算法', '自然语言处理算法', '模型加速/性能优化', 'Python', '算法工程化经验', '发表算法相关优秀论文', '参加算法相关竞赛/获奖', 'NLP', 'Langchain', '大模型微调', '知识库', 'RAG']",187,深圳市大数据研究...,微型企业,无锡,滨湖区
研发工程师,本科,5-10年,"['粉末涂料', '配方开发', '成本控制', '英语可作为工作语言']",210,埃梯梯,中大型企业,无锡,新吴区
Java技术支持工程师（兼系统运维）,本科,1-3年,"['Java', 'Python', 'JVM', 'SpringCloud', 'Docker', 'Spring', 'MySQL', 'Oracle']",114,中物云,微型企业,无锡,滨湖区
cae算法,本科,经验不限,['cae'],825,深圳某中型计算机软件公司,中型企业,无锡,
资深测试工程师,本科,5-10年,[],168,领健Linkedcare  ,大型企业,无锡,梁溪区
程序员,大专,1-3年,"['Python', 'JavaScript', 'CSS', 'HTML', 'SQL']",72,苏垣企服,小型企业,无锡,惠山区
python工程师,大专,3-5年,"['Golang', '爬虫经验', 'PyTorch', 'PHP', '大模型', 'Python']",123,灵匠科技,中大型企业,徐州,泉山区
程序员,学历不限,经验不限,"['Node.js开发经验', '服务端开发经验', 'Vue/Angular/React', '全栈', 'Node.js', '前端开发经验', 'Python']",201,欧汇科技,微型企业,徐州,鼓楼区
python开发工程师,大专,1-3年,"['Python', 'Numpy', 'Pandas', 'MySQL']",90,主合教育,小型企业,徐州,云龙区
兼职Python开发工程师（在家办公）,学历不限,经验不限,"['Python', 'Scrapy', 'Numpy', 'Pandas', 'Docker', 'Nginx', 'MySQL', 'Redis', '架构设计经验', '分布式经验', '爬虫经验', '机器学习经验', '量化交易开发经验', '兼职开发工程师', '兼职python', '区块链开发', '量化交易', '自动交易机器人']",54,徐州赚客,小型企业,徐州,泉山区
电商数据分析师,本科,经验不限,"['数据分析/挖掘经验', '计算机相关专业', 'Python', '数学/统计相关专业']",72,徐州元兴科技有限公司,中型企业,徐州,云龙区
上位机软件开发工程师C#,学历不限,经验不限,"['C#', 'ASP.NET', 'C#开发经验']",96,上海蜂窝软件科技,小型企业,徐州,泉山区
Python,学历不限,经验不限,"['Python', 'Golang', 'Java', 'Django', 'Flask', 'Tornado', 'MySQL', 'Oracle', 'MongoDB', '团队管理经验', '架构设计经验', 'Linux开发/部署经验']",126,金骏脑商贸,微型企业,徐州,鼓楼区
神经科学,硕士,1-3年,"['机器学习', '图像算法', '大模型算法', '算法工程化经验', 'MATLAB', 'Python']",192,徐州翔展文教科技,中型企业,徐州,泉山区
软件工程师,本科,1-3年,"['C++', 'Python', '通信相关专业', '电气电气/自动化相关专业', '嵌入式/单片机开发经验', '英语读写能力良好']",140,江苏云意电气股份...,大型企业,徐州,
感知工程师 (环境感知与地图定位系统开发）,硕士,3-5年,"['深度学习', '大模型算法', '图像算法', 'C/C++', '算法工程化经验', '自动驾驶', '智能驾驶', '无人驾驶', '激光', '雷达']",420,徐工,大型企业,徐州,贾汪区
测试工程师-徐州,本科,5-10年,"['Java', '自动化测试', 'Python']",96,数字盛世云图,中型企业,徐州,
